participantId,ALT_further_block_urgency,ALT_further_gradient_urgency,ALT_further_simple_urgency,ALT_further_table_urgency,ALT_slightly_block_urgency,ALT_slightly_gradient_urgency,ALT_slightly_simple_urgency,ALT_slightly_table_urgency,Creatinine_further_block_urgency,Creatinine_further_gradient_urgency,Creatinine_further_simple_urgency,Creatinine_further_table_urgency,Creatinine_slightly_block_urgency,Creatinine_slightly_gradient_urgency,Creatinine_slightly_simple_urgency,Creatinine_slightly_table_urgency,Platelet_further_block_urgency,Platelet_further_gradient_urgency,Platelet_further_simple_urgency,Platelet_further_table_urgency,Platelet_slightly_block_urgency,Platelet_slightly_gradient_urgency,Platelet_slightly_simple_urgency,Platelet_slightly_table_urgency,ALT_block_urgency_diff,ALT_gradient_urgency_diff,ALT_simple_urgency_diff,ALT_table_urgency_diff,Creatinine_block_urgency_diff,Creatinine_gradient_urgency_diff,Creatinine_simple_urgency_diff,Creatinine_table_urgency_diff,Platelet_block_urgency_diff,Platelet_gradient_urgency_diff,Platelet_simple_urgency_diff,Platelet_table_urgency_diff,ALT_further_block_intention,ALT_further_gradient_intention,ALT_further_simple_intention,ALT_further_table_intention,ALT_slightly_block_intention,ALT_slightly_gradient_intention,ALT_slightly_simple_intention,ALT_slightly_table_intention,Creatinine_further_block_intention,Creatinine_further_gradient_intention,Creatinine_further_simple_intention,Creatinine_further_table_intention,Creatinine_slightly_block_intention,Creatinine_slightly_gradient_intention,Creatinine_slightly_simple_intention,Creatinine_slightly_table_intention,Platelet_further_block_intention,Platelet_further_gradient_intention,Platelet_further_simple_intention,Platelet_further_table_intention,Platelet_slightly_block_intention,Platelet_slightly_gradient_intention,Platelet_slightly_simple_intention,Platelet_slightly_table_intention,graphical_literacy_score,health_literacy,subjective_numeracy,familiarity,age,gender,ethnicity,race,education,prolific_id
604092168305452a726e70bb,,,,4.5,,,,4.0,,,,2.5,,,,1.5,,,,4.0,,,,2.5,,,,0.5,,,,1.0,,,,1.5,,,,,,,,Some form of immediate action,,,,Willingness to wait,,,,Willingness to wait,,,,Some form of immediate action,,,,Willingness to wait,5,4.0,2.625,2.0,30.0,Male,Not Hispanic or Latino,"[""White""]",Bachelor's degree,604092168305452a726e70bb
60512e514abc6efb1d27d863,,,,6.0,,,,5.5,,,,6.0,,,,5.0,,,,6.0,,,,3.5,,,,0.5,,,,1.0,,,,2.5,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,4,5.0,3.0,1.0,31.0,Female,Not Hispanic or Latino,"[""Black or African American""]",Bachelor's degree,60512e514abc6efb1d27d863
605f856a958ba27c0300c200,,5.0,,,,4.0,,,,4.0,,,,4.0,,,,6.0,,,,5.0,,,,1.0,,,,0.0,,,,1.0,,,,Some form of immediate action,,,,Willingness to wait,,,,Some form of immediate action,,,,Willingness to wait,,,,Some form of immediate action,,,,Some form of immediate action,,,6,4.0,3.375,1.0,49.0,Female,Not Hispanic or Latino,"[""White""]",Master's degree,605f856a958ba27c0300c200
60de3d32aeb7f2a8b4bba07d,,,,6.0,,,,6.0,,,,6.0,,,,6.0,,,,6.0,,,,5.0,,,,0.0,,,,0.0,,,,1.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,,7,5.0,4.125,,38.0,Female,Not Hispanic or Latino,"[""Black or African American""]",Some college/trade,60de3d32aeb7f2a8b4bba07d
60e9f29fe1f58945339696d0,,,,6.0,,,,6.0,,,,6.0,,,,6.0,,,,6.0,,,,5.0,,,,0.0,,,,0.0,,,,1.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,,6,5.0,3.0,4.0,32.0,Female,Not Hispanic or Latino,"[""Black or African American""]",Bachelor's degree,60e9f29fe1f58945339696d0
60f3bc4e36762e0c2d9132cb,,,,6.0,,,,4.0,,,,3.0,,,,3.0,,,,6.0,,,,2.0,,,,2.0,,,,0.0,,,,4.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,6,5.0,3.75,5.0,31.0,Female,Hispanic or Latino,"[""White""]",Bachelor's degree,60f3bc4e36762e0c2d9132cb
60fa9b17c5f485add54e64c8,,,,6.0,,,,6.0,,,,4.5,,,,4.0,,,,6.0,,,,5.0,,,,0.0,,,,0.5,,,,1.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,4,5.0,3.75,1.0,25.0,Female,Not Hispanic or Latino,"[""Black or African American""]",Bachelor's degree,60fa9b17c5f485add54e64c8
611a702fa7003f9ed350ebb4,6.0,,,,2.0,,,,5.0,,,,3.0,,,,6.0,,,,2.0,,,,4.0,,,,2.0,,,,4.0,,,,Some form of immediate action,,,,Willingness to wait,,,,,,,,Some form of immediate action,,,,Some form of immediate action,,,,Willingness to wait,,,,2,4.0,2.875,2.0,27.0,Male,Not Hispanic or Latino,"[""Black or African American""]",Bachelor's degree,611a702fa7003f9ed350ebb4
6123ea6c873f4f6d73a74029,,5.0,,,,6.0,,,,5.0,,,,4.5,,,,5.5,,,,3.5,,,,-1.0,,,,0.5,,,,2.0,,,,,,,,,,,,,,,,Some form of immediate action,,,,Some form of immediate action,,,,Willingness to wait,,,5,5.0,3.5,3.0,33.0,Female,Not Hispanic or Latino,"[""Black or African American""]",Bachelor's degree,6123ea6c873f4f6d73a74029
6162f69802a7e6ff99084a66,,,5.0,,,,4.0,,,,6.0,,,,4.0,,,,6.0,,,,6.0,,,,1.0,,,,2.0,,,,0.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Willingness to wait,,,,Some form of immediate action,,,,Some form of immediate action,,4,4.0,2.5,3.0,26.0,Female,Not Hispanic or Latino,"[""Black or African American""]",Bachelor's degree,6162f69802a7e6ff99084a66
6164b4422e2259bfaa67f33a,6.0,,,,2.0,,,,5.0,,,,4.0,,,,2.5,,,,5.0,,,,4.0,,,,1.0,,,,-2.5,,,,Some form of immediate action,,,,,,,,,,,,,,,,Willingness to wait,,,,Some form of immediate action,,,,2,4.0,2.375,2.0,38.0,Female,Not Hispanic or Latino,"[""Black or African American""]",Bachelor's degree,6164b4422e2259bfaa67f33a
63d02c1f6a00a2ad12d30a83,,5.0,,,,3.0,,,,4.0,,,,3.5,,,,5.0,,,,2.0,,,,2.0,,,,0.5,,,,3.0,,,,,,,,Willingness to wait,,,,Some form of immediate action,,,,Willingness to wait,,,,Some form of immediate action,,,,Willingness to wait,,,5,4.0,3.75,4.0,53.0,Do not wish to answer,Not Hispanic or Latino,"[""Asian""]",Master's degree,63d02c1f6a00a2ad12d30a83
64360d6189dec3ac8afc9a78,,,,5.0,,,,3.0,,,,1.0,,,,2.0,,,,1.0,,,,4.0,,,,2.0,,,,-1.0,,,,-3.0,,,,Some form of immediate action,,,,Willingness to wait,,,,Willingness to wait,,,,Willingness to wait,,,,Willingness to wait,,,,Willingness to wait,6,5.0,2.5,3.0,67.0,Female,Not Hispanic or Latino,"[""White""]",Some college/trade,64360d6189dec3ac8afc9a78
65e48fd0230ec826e5cca981,,5.5,,,,2.0,,,,4.5,,,,2.5,,,,6.0,,,,3.0,,,,3.5,,,,2.0,,,,3.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,Willingness to wait,,,,Some form of immediate action,,,,Some form of immediate action,,,,Willingness to wait,,,5,4.0,3.5,4.0,26.0,Female,Not Hispanic or Latino,"[""Black or African American""]",Bachelor's degree,65e48fd0230ec826e5cca981
65fad6c874ac75642ffc254b,6.0,,,,2.5,,,,5.0,,,,3.0,,,,5.0,,,,1.5,,,,3.5,,,,2.0,,,,3.5,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,,,,,Some form of immediate action,,,,,,,,6,4.0,3.375,4.0,21.0,Do not wish to answer,Not Hispanic or Latino,"[""Asian""]",Bachelor's degree,65fad6c874ac75642ffc254b
66049315b5c325fdaafea8fa,6.0,,,,3.0,,,,3.5,,,,2.5,,,,5.0,,,,3.0,,,,3.0,,,,1.0,,,,2.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Willingness to wait,,,,Some form of immediate action,,,,Willingness to wait,,,,6,5.0,3.25,4.0,30.0,Female,Hispanic or Latino,"[""White""]",Master's degree,66049315b5c325fdaafea8fa
66293d4d723f515e219cdfb9,,,5.0,,,,3.0,,,,4.0,,,,2.0,,,,5.0,,,,2.0,,,,2.0,,,,2.0,,,,3.0,,,,Some form of immediate action,,,,Willingness to wait,,,,Some form of immediate action,,,,Willingness to wait,,,,Some form of immediate action,,,,Willingness to wait,,4,4.0,3.375,4.0,58.0,Female,Not Hispanic or Latino,"[""White""]",Bachelor's degree,66293d4d723f515e219cdfb9
664c916cade8188cbaadd67c,,6.0,,,,4.0,,,,5.0,,,,4.0,,,,6.0,,,,4.0,,,,2.0,,,,1.0,,,,2.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,6,4.0,3.25,2.0,28.0,Male,Not Hispanic or Latino,"[""Black or African American""]",Bachelor's degree,664c916cade8188cbaadd67c
664f478709517d692052ab29,,6.0,,,,3.0,,,,5.0,,,,4.0,,,,6.0,,,,4.5,,,,3.0,,,,1.0,,,,1.5,,,,Some form of immediate action,,,,Some form of immediate action,,,,,,,,Willingness to wait,,,,Some form of immediate action,,,,,,,3,5.0,2.625,2.0,21.0,Female,Not Hispanic or Latino,"[""Black or African American""]",Bachelor's degree,664f478709517d692052ab29
6658796332f386de21b5edb1,,,,6.0,,,,6.0,,,,5.0,,,,4.5,,,,6.0,,,,2.5,,,,0.0,,,,0.5,,,,3.5,,,,Some form of immediate action,,,,Some form of immediate action,,,,,,,,Some form of immediate action,,,,Some form of immediate action,,,,,3,5.0,2.75,4.0,24.0,Female,Not Hispanic or Latino,"[""Black or African American""]",Bachelor's degree,6658796332f386de21b5edb1
665b1c8e63a2144efc395a74,,,6.0,,,,2.5,,,,4.5,,,,3.5,,,,6.0,,,,1.0,,,,3.5,,,,1.0,,,,5.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,,,,,Some form of immediate action,,,,Some form of immediate action,,,,Willingness to wait,,6,5.0,2.875,2.0,31.0,Female,Not Hispanic or Latino,"[""Asian""]",Bachelor's degree,665b1c8e63a2144efc395a74
6672dc557590d5ff3bebddfd,6.0,,,,3.5,,,,4.0,,,,4.0,,,,6.0,,,,5.0,,,,2.5,,,,0.0,,,,1.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,,,,,Willingness to wait,,,,Some form of immediate action,,,,,,,,2,5.0,3.875,4.0,21.0,Female,Not Hispanic or Latino,"[""Black or African American""]",Bachelor's degree,6672dc557590d5ff3bebddfd
66c396c3a9e2dc95656812be,5.0,,,,3.0,,,,4.0,,,,2.0,,,,6.0,,,,1.5,,,,2.0,,,,2.0,,,,4.5,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,,,,,Some form of immediate action,,,,Willingness to wait,,,,3,5.0,2.375,5.0,22.0,Female,Not Hispanic or Latino,"[""Black or African American""]",Master's degree,66c396c3a9e2dc95656812be
66ff0a0dcd4370bb07f02ab3,,,,6.0,,,,6.0,,,,3.5,,,,2.5,,,,6.0,,,,4.0,,,,0.0,,,,1.0,,,,2.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,2,5.0,3.5,3.0,52.0,Female,Not Hispanic or Latino,"[""Asian""]",Bachelor's degree,66ff0a0dcd4370bb07f02ab3
673d16561a48ba78f0937854,6.0,,,,6.0,,,,6.0,,,,5.5,,,,5.5,,,,5.5,,,,0.0,,,,0.5,,,,0.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,,,,,Some form of immediate action,,,,Some form of immediate action,,,,4,5.0,3.75,5.0,35.0,Female,Not Hispanic or Latino,"[""Black or African American""]",Bachelor's degree,673d16561a48ba78f0937854
678626e201ee6e1c46ce14a5,2.0,,,,3.0,,,,3.0,,,,2.0,,,,5.0,,,,3.5,,,,-1.0,,,,1.0,,,,1.5,,,,Willingness to wait,,,,Willingness to wait,,,,Willingness to wait,,,,Willingness to wait,,,,,,,,Some form of immediate action,,,,4,4.0,3.5,4.0,23.0,Male,Not Hispanic or Latino,"[""Black or African American""]",Bachelor's degree,678626e201ee6e1c46ce14a5
67ab1e994f1e4d7f398f8172,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some form of immediate action,,,7,,,,,,,,,67ab1e994f1e4d7f398f8172
67cea841046ca74e2069ae47,,,5.0,,,,2.0,,,,6.0,,,,5.0,,,,6.0,,,,2.0,,,,3.0,,,,1.0,,,,4.0,,,,Some form of immediate action,,,,,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Willingness to wait,,2,5.0,3.375,4.0,25.0,Female,Not Hispanic or Latino,"[""Black or African American""]",Bachelor's degree,67cea841046ca74e2069ae47
67d0706f67e1b88b4b9a53d5,,,5.5,,,,2.0,,,,3.5,,,,3.0,,,,4.5,,,,4.0,,,,3.5,,,,0.5,,,,0.5,,,,,,,,Willingness to wait,,,,Some form of immediate action,,,,Willingness to wait,,,,Some form of immediate action,,,,,,5,4.0,4.0,4.0,57.0,Male,Not Hispanic or Latino,"[""Black or African American""]",Master's degree,67d0706f67e1b88b4b9a53d5
67ea38f2f2477e3cbdb8202a,,,,1.0,,,,1.0,,,,1.5,,,,1.0,,,,1.0,,,,1.0,,,,0.0,,,,0.5,,,,0.0,,,,Willingness to wait,,,,Willingness to wait,,,,Willingness to wait,,,,Willingness to wait,,,,Willingness to wait,,,,Willingness to wait,6,5.0,3.75,1.0,53.0,Male,Not Hispanic or Latino,"[""White""]",Bachelor's degree,67ea38f2f2477e3cbdb8202a
68ca863ee90ab337a8422bff,,,6.0,,,,2.0,,,,3.0,,,,2.0,,,,4.0,,,,2.0,,,,4.0,,,,1.0,,,,2.0,,,,Some form of immediate action,,,,,,,,,,,,Some form of immediate action,,,,,,,,Willingness to wait,,4,4.0,3.375,2.0,32.0,Female,Not Hispanic or Latino,"[""Asian""]",Bachelor's degree,68ca863ee90ab337a8422bff
68f11a728e512a0d1123876a,,5.0,,,,2.5,,,,6.0,,,,4.5,,,,6.0,,,,2.5,,,,2.5,,,,1.5,,,,3.5,,,,Some form of immediate action,,,,Willingness to wait,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,4,5.0,5.0,4.0,30.0,Male,Not Hispanic or Latino,"[""Asian""]",Bachelor's degree,68f11a728e512a0d1123876a
6928b5026c84fcd91c5a7a68,,,6.0,,,,5.0,,,,5.0,,,,5.0,,,,6.0,,,,3.0,,,,1.0,,,,0.0,,,,3.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,6,4.0,4.0,2.0,38.0,Female,Not Hispanic or Latino,"[""White""]",Master's degree,6928b5026c84fcd91c5a7a68
6932bf332627def0f1f8a46b,5.0,,,,2.5,,,,4.5,,,,3.5,,,,4.0,,,,2.0,,,,2.5,,,,1.0,,,,2.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,,,,,Some form of immediate action,,,,,,,,Some form of immediate action,,,,5,4.0,2.625,1.0,41.0,Female,Not Hispanic or Latino,"[""White""]",Bachelor's degree,6932bf332627def0f1f8a46b
69334a389173c6dc53b3973a,,,,5.0,,,,4.0,,,,2.0,,,,2.0,,,,5.0,,,,3.5,,,,1.0,,,,0.0,,,,1.5,,,,Willingness to wait,,,,Willingness to wait,,,,Willingness to wait,,,,Willingness to wait,,,,Some form of immediate action,,,,Willingness to wait,4,3.0,2.625,2.0,36.0,Male,Not Hispanic or Latino,"[""White""]",High school only,69334a389173c6dc53b3973a
693826069ea659a40ecc942b,5.0,,,,2.0,,,,5.0,,,,2.0,,,,5.0,,,,2.0,,,,3.0,,,,3.0,,,,3.0,,,,,,,,Willingness to wait,,,,,,,,Willingness to wait,,,,,,,,Willingness to wait,,,,6,4.0,4.5,2.0,41.0,Male,Not Hispanic or Latino,"[""White""]",Master's degree,693826069ea659a40ecc942b
694179d88301c400c4bbdb4d,,,6.0,,,,2.5,,,,3.5,,,,2.5,,,,5.5,,,,1.5,,,,3.5,,,,1.0,,,,4.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,,,,,Some form of immediate action,,,,Some form of immediate action,,,,Willingness to wait,,4,5.0,3.75,3.0,34.0,Female,Not Hispanic or Latino,"[""Asian""]",Master's degree,694179d88301c400c4bbdb4d
69419dd351c8c6866590c254,,,,6.0,,,,4.0,,,,6.0,,,,3.5,,,,6.0,,,,2.5,,,,2.0,,,,2.5,,,,3.5,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Willingness to wait,3,4.0,3.5,3.0,18.0,Male,Hispanic or Latino,"[""White""]",High school only,69419dd351c8c6866590c254
69726784f9664ade992c66fc,,,,6.0,,,,6.0,,,,2.5,,,,1.5,,,,5.5,,,,2.5,,,,0.0,,,,1.0,,,,3.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,Willingness to wait,,,,Willingness to wait,,,,Some form of immediate action,,,,Willingness to wait,6,4.0,2.75,4.0,32.0,Male,Not Hispanic or Latino,"[""White""]",High school only,69726784f9664ade992c66fc
697270b332b74a12b5bf3421,,,6.0,,,,3.0,,,,4.5,,,,3.0,,,,5.5,,,,3.5,,,,3.0,,,,1.5,,,,2.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,4,5.0,4.0,2.0,23.0,Male,Not Hispanic or Latino,"[""White""]",Bachelor's degree,697270b332b74a12b5bf3421
6977ba2b009114ad31cf0602,,5.5,,,,1.5,,,,2.5,,,,1.5,,,,4.0,,,,1.5,,,,4.0,,,,1.0,,,,2.5,,,,Some form of immediate action,,,,Willingness to wait,,,,Willingness to wait,,,,Willingness to wait,,,,Some form of immediate action,,,,Willingness to wait,,,5,3.0,3.625,4.0,29.0,Female,Not Hispanic or Latino,"[""White""]",Master's degree,6977ba2b009114ad31cf0602
697a63699994a55601769064,,,4.0,,,,2.0,,,,3.0,,,,2.0,,,,5.5,,,,3.0,,,,2.0,,,,1.0,,,,2.5,,,,Some form of immediate action,,,,Willingness to wait,,,,Willingness to wait,,,,Willingness to wait,,,,Some form of immediate action,,,,Some form of immediate action,,7,5.0,2.875,3.0,28.0,Male,Hispanic or Latino,"[""White""]",Bachelor's degree,697a63699994a55601769064
697a6c6ab723a65539a89229,3.5,,,,4.5,,,,4.0,,,,3.5,,,,4.5,,,,5.0,,,,-1.0,,,,0.5,,,,-0.5,,,,Willingness to wait,,,,Some form of immediate action,,,,Some form of immediate action,,,,Willingness to wait,,,,Willingness to wait,,,,Some form of immediate action,,,,2,5.0,3.875,4.0,34.0,Female,Not Hispanic or Latino,"[""Black or African American""]",Bachelor's degree,697a6c6ab723a65539a89229
697a706737d4da6d9c8826ee,,6.0,,,,2.0,,,,5.0,,,,2.5,,,,6.0,,,,2.0,,,,4.0,,,,2.5,,,,4.0,,,,Some form of immediate action,,,,Willingness to wait,,,,Some form of immediate action,,,,,,,,Some form of immediate action,,,,Willingness to wait,,,6,4.0,3.875,3.0,32.0,Male,Hispanic or Latino,"[""Asian""]",Bachelor's degree,697a706737d4da6d9c8826ee
697a7ca703a2f04efb2de9e9,,,,6.0,,,,5.0,,,,5.5,,,,5.0,,,,5.5,,,,2.5,,,,1.0,,,,0.5,,,,3.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Willingness to wait,6,4.0,2.625,2.0,24.0,Male,Hispanic or Latino,"[""White""]",Bachelor's degree,697a7ca703a2f04efb2de9e9
697a7eaceb6972d592fc0bdc,5.0,,,,3.0,,,,4.0,,,,3.0,,,,5.0,,,,3.0,,,,2.0,,,,1.0,,,,2.0,,,,,,,,Willingness to wait,,,,Some form of immediate action,,,,Willingness to wait,,,,Some form of immediate action,,,,Willingness to wait,,,,5,5.0,4.0,4.0,22.0,Male,Hispanic or Latino,"[""White""]",Bachelor's degree,697a7eaceb6972d592fc0bdc
697a8a09320c13f3e90a8d52,4.0,,,,2.5,,,,3.5,,,,3.0,,,,4.5,,,,3.0,,,,1.5,,,,0.5,,,,1.5,,,,Some form of immediate action,,,,Willingness to wait,,,,Willingness to wait,,,,Willingness to wait,,,,Some form of immediate action,,,,Willingness to wait,,,,6,4.0,4.375,3.0,22.0,Male,Not Hispanic or Latino,"[""White""]",High school only,697a8a09320c13f3e90a8d52
697a978f0b6dffb1045756dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,dd6575401bffd6bof879aa7969697a978f0b6dffb1045756dd76a978f0b6dffb1045756dd97a978f0b6dffb1045756dd
697c0169319aef8ee5f4ad28,,6.0,,,,3.0,,,,5.0,,,,3.5,,,,6.0,,,,2.0,,,,3.0,,,,1.5,,,,4.0,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,,Some form of immediate action,,,5,2.0,2.375,2.0,35.0,Male,Hispanic or Latino,"[""White""]",Bachelor's degree,697c0169319aef8ee5f4ad28
